S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,12-03-2020,India,74,71,3,0
2,13-03-2020,India,75,71,3,1
3,14-03-2020,India,84,72,10,2
4,15-03-2020,India,107,95,10,2
5,16-03-2020,India,114,99,13,2
6,17-03-2020,India,137,120,14,3
7,18-03-2020,India,146,129,14,3
8,19-03-2020,India,166,148,15,3
9,20-03-2020,India,195,171,20,4
10,21-03-2020,India,258,231,23,4
11,22-03-2020,India,360,329,24,7
12,23-03-2020,India,433,402,24,7
13,24-03-2020,India,492,446,37,9
14,25-03-2020,India,519,469,40,10
15,26-03-2020,India,649,593,43,13
16,27-03-2020,India,724,640,67,17
17,28-03-2020,India,909,810,80,19
18,29-03-2020,India,979,867,87,25
19,30-03-2020,India,1071,942,100,29
20,31-03-2020,India,1397,1238,124,35
21,01-04-2020,India,1637,1466,133,38
22,02-04-2020,India,1965,1764,151,50
23,03-04-2020,India,2301,2088,157,56
24,04-04-2020,India,2902,2650,184,68
25,05-04-2020,India,3374,3030,267,77
26,06-04-2020,India,4067,3666,292,109
27,07-04-2020,India,4421,3981,326,114
28,08-04-2020,India,5194,4643,402,149
29,09-04-2020,India,5734,5095,473,166
30,10-04-2020,India,6412,5709,504,199
31,11-04-2020,India,7447,6565,643,239
32,12-04-2020,India,8356,7367,716,273
33,13-04-2020,India,9152,7987,857,308
34,14-04-2020,India,10363,8988,1036,339
35,15-04-2020,India,11439,9756,1306,377
36,16-04-2020,India,12380,10477,1489,414
37,17-04-2020,India,13387,11201,1749,437
38,18-04-2020,India,14378,11906,1992,480
39,19-04-2020,India,15712,12974,2231,507
40,20-04-2020,India,17265,14175,2547,543
41,21-04-2020,India,18601,14759,3252,590
42,22-04-2020,India,19984,15474,3870,640
43,23-04-2020,India,21393,16454,4258,681
44,24-04-2020,India,23077,17610,4749,718
45,25-04-2020,India,24506,18668,5063,775
46,26-04-2020,India,26496,19868,5804,824
47,27-04-2020,India,27892,20835,6185,872
48,28-04-2020,India,29435,21632,6869,934
49,29-04-2020,India,31332,22629,7696,1007
50,30-04-2020,India,33050,23651,8325,1074
51,01-05-2020,India,35043,25007,8889,1147
52,02-05-2020,India,37336,26167,9951,1218
53,03-05-2020,India,39980,28046,10633,1301
54,04-05-2020,India,42533,29453,11707,1373
55,05-05-2020,India,46433,32138,12727,1568
56,06-05-2020,India,49390,33513,14183,1694
57,07-05-2020,India,52951,35901,15267,1783
58,08-05-2020,India,56341,37915,16540,1886
59,09-05-2020,India,59662,39834,17847,1981
60,10-05-2020,India,62939,41472,19358,2109
61,11-05-2020,India,67152,44029,20917,2206
62,12-05-2020,India,70756,46008,22455,2293
63,13-05-2020,India,74281,47480,24386,2415
64,14-05-2020,India,78003,49219,26235,2549
65,15-05-2020,India,81970,51401,27920,2649
66,16-05-2020,India,85940,53035,30153,2752
67,17-05-2020,India,90927,53946,34109,2872
68,18-05-2020,India,96169,56316,36824,3029
69,19-05-2020,India,101139,58802,39174,3163
70,20-05-2020,India,106750,61149,42298,3303
71,21-05-2020,India,112359,63624,45300,3435
72,22-05-2020,India,118447,66330,48534,3583
73,23-05-2020,India,125101,69597,51784,3720
74,24-05-2020,India,131868,73560,54441,3867
75,25-05-2020,India,138845,77103,57721,4021
76,26-05-2020,India,145380,80722,60491,4167
77,27-05-2020,India,151767,83004,64426,4337
78,28-05-2020,India,158333,86110,67692,4531
79,29-05-2020,India,165799,89987,71106,4706
80,30-05-2020,India,173763,86422,82370,4971
81,31-05-2020,India,182143,89995,86984,5164
82,01-06-2020,India,190535,93322,91819,5394
83,02-06-2020,India,198706,97581,95527,5598
84,03-06-2020,India,207615,101497,100303,5815
85,04-06-2020,India,216919,106737,104107,6075
86,05-06-2020,India,226770,110960,109462,6348
87,06-06-2020,India,236657,115942,114073,6642
88,07-06-2020,India,246628,120406,119293,6929
89,08-06-2020,India,256611,125381,124095,7135
90,09-06-2020,India,266598,129917,129215,7466
91,10-06-2020,India,276583,133632,135206,7745
92,11-06-2020,India,286579,137448,141029,8102
93,12-06-2020,India,297535,141842,147195,8498
94,13-06-2020,India,308993,145779,154330,8884
95,14-06-2020,India,320922,149348,162379,9195
96,15-06-2020,India,332424,153106,169798,9520
97,16-06-2020,India,343091,153178,180013,9900
98,17-06-2020,India,354065,155227,186935,11903
99,18-06-2020,India,366946,160384,194325,12237
100,19-06-2020,India,380532,163248,204711,12573
101,20-06-2020,India,395048,168269,213831,12948
102,21-06-2020,India,410461,169451,227756,13254
103,22-06-2020,India,425282,174387,237196,13699
104,23-06-2020,India,440215,178014,248190,14011
105,24-06-2020,India,456183,183022,258685,14476
106,25-06-2020,India,473105,186514,271697,14894
107,26-06-2020,India,490401,189463,285637,15301
108,27-06-2020,India,508953,197387,295881,15685
109,28-06-2020,India,528859,203051,309713,16095
110,29-06-2020,India,548318,210120,321723,16475
111,30-06-2020,India,566840,215125,334822,16893
112,01-07-2020,India,585493,220114,347979,17400
113,02-07-2020,India,604641,226947,359860,17834
114,03-07-2020,India,625544,227439,379892,18213
115,04-07-2020,India,648315,235433,394227,18655
116,05-07-2020,India,673165,244814,409083,19268
117,06-07-2020,India,697413,253287,424433,19693
118,07-07-2020,India,719665,259557,439948,20160
119,08-07-2020,India,742417,264944,456831,20642
120,09-07-2020,India,767296,269789,476378,21129
121,10-07-2020,India,793802,276685,495513,21604
122,11-07-2020,India,820916,283407,515386,22123
123,12-07-2020,India,849553,292258,534621,22674
124,13-07-2020,India,878254,301609,553471,23174
125,14-07-2020,India,906752,311565,571460,23727
126,15-07-2020,India,936181,319840,592032,24309
127,16-07-2020,India,968876,331146,612815,24915
128,17-07-2020,India,1003832,342473,635757,25602
129,18-07-2020,India,1038716,358692,653751,26273
130,19-07-2020,India,1077618,373379,677423,26816
131,20-07-2020,India,1118043,390459,700087,27497
132,21-07-2020,India,1155191,402529,724578,28084
133,22-07-2020,India,1192915,411133,753050,28732
134,23-07-2020,India,1238635,426167,782607,29861
135,24-07-2020,India,1287945,440135,817209,30601
136,25-07-2020,India,1336861,456071,849432,31358
137,26-07-2020,India,1385522,467882,885577,32063
138,27-07-2020,India,1435453,485114,917568,32771
139,28-07-2020,India,1483156,496988,952743,33425
140,29-07-2020,India,1531669,509447,988029,34193
141,30-07-2020,India,1583792,528242,1020582,34968
142,31-07-2020,India,1638870,545318,1057805,35747
143,01-08-2020,India,1695988,565103,1094374,36511
144,02-08-2020,India,1750723,567730,1145629,37364
145,03-08-2020,India,1803695,579357,1186203,38135
146,04-08-2020,India,1855745,586298,1230509,38938
147,05-08-2020,India,1908254,586244,1282215,39795
148,06-08-2020,India,1964536,595501,1328336,40699
149,07-08-2020,India,2027074,607384,1378105,41585
150,08-08-2020,India,2088611,619088,1427005,42518
151,09-08-2020,India,2153010,628747,1480884,43379
152,10-08-2020,India,2215074,634945,1535743,44386
153,11-08-2020,India,2268675,639929,1583489,45257
154,12-08-2020,India,2329638,643948,1639599,46091
155,13-08-2020,India,2396637,653622,1695982,47033
156,14-08-2020,India,2461190,661595,1751555,48040
157,15-08-2020,India,2526192,668220,1808936,49036
158,16-08-2020,India,2589682,677444,1862258,49980
159,17-08-2020,India,2647663,676900,1919842,50921
160,18-08-2020,India,2702742,673166,1977779,51797
161,19-08-2020,India,2767273,676514,2037870,52889
162,20-08-2020,India,2836925,686395,2096664,53866
163,21-08-2020,India,2905823,692028,2158946,54849
164,22-08-2020,India,2975701,697330,2222577,55794
165,23-08-2020,India,3044940,707668,2280566,56706
166,24-08-2020,India,3106348,710771,2338035,57542
167,25-08-2020,India,3167323,704348,2404585,58390
168,26-08-2020,India,3234474,707267,2467758,59449
169,27-08-2020,India,3310234,725991,2523771,60472
170,28-08-2020,India,3387500,742023,2583948,61529
171,29-08-2020,India,3463972,752424,2648998,62550
172,30-08-2020,India,3542733,765302,2713933,63498
173,31-08-2020,India,3621245,781975,2774801,64469
174,01-09-2020,India,3691166,785996,2839882,65288
175,02-09-2020,India,3769523,801282,2901908,66333
176,03-09-2020,India,3853406,815538,2970492,67376
177,04-09-2020,India,3936747,831124,3037151,68472
178,05-09-2020,India,4023179,846395,3107223,69561
179,06-09-2020,India,4113811,862320,3180865,70626
180,07-09-2020,India,4204613,882542,3250429,71642
181,08-09-2020,India,4280422,883697,3323950,72775
182,09-09-2020,India,4370128,897394,3398844,73890
183,10-09-2020,India,4465863,919018,3471783,75062
184,11-09-2020,India,4562414,943480,3542663,76271
185,12-09-2020,India,4659984,958316,3624196,77472
186,13-09-2020,India,4754356,973175,3702595,78586
187,14-09-2020,India,4846427,986598,3780107,79722
188,15-09-2020,India,4930236,990061,3859399,80776
189,16-09-2020,India,5020359,995933,3942360,82066
190,17-09-2020,India,5118253,1009976,4025079,83198
191,18-09-2020,India,5214677,1017754,4112551,84372
192,19-09-2020,India,5308014,1013964,4208431,85619
193,20-09-2020,India,5400619,1010824,4303043,86752
194,21-09-2020,India,5487580,1003299,4396399,87882
195,22-09-2020,India,5562663,975861,4497867,88935
196,27-03-2020,Andaman and Nicobar Islands,1,1,0,0
197,28-03-2020,Andaman and Nicobar Islands,6,6,0,0
198,29-03-2020,Andaman and Nicobar Islands,9,9,0,0
199,30-03-2020,Andaman and Nicobar Islands,9,9,0,0
200,31-03-2020,Andaman and Nicobar Islands,10,10,0,0
201,01-04-2020,Andaman and Nicobar Islands,10,10,0,0
202,02-04-2020,Andaman and Nicobar Islands,10,10,0,0
203,03-04-2020,Andaman and Nicobar Islands,10,10,0,0
204,04-04-2020,Andaman and Nicobar Islands,10,10,0,0
205,05-04-2020,Andaman and Nicobar Islands,10,10,0,0
206,06-04-2020,Andaman and Nicobar Islands,10,10,0,0
207,07-04-2020,Andaman and Nicobar Islands,10,10,0,0
208,08-04-2020,Andaman and Nicobar Islands,10,10,0,0
209,09-04-2020,Andaman and Nicobar Islands,11,11,0,0
210,10-04-2020,Andaman and Nicobar Islands,11,11,0,0
211,11-04-2020,Andaman and Nicobar Islands,11,11,0,0
